"","Well","Sample","Target","Concentration","CopiesPer20uLWell","Positives","Negatives","AcceptedDroplets","Threshold","Run"
"1740","A08","EB_7/8/22","CARP",0,0,0,7377,7377,7000,14
"1741","A09","EB_7/8/22","CARP",0,0,0,6510,6510,7000,14
"1742","B07","EB_7/18/22","CARP",0,0,0,5622,5622,7000,14
"1743","B08","EB_7/18/22","CARP",0.19,3.8,1,6117,6118,7000,14
"1744","B09","EB_7/18/22","CARP",0,0,0,7461,7461,7000,14
"1781","G10","Positive_CTL","CARP",101,2020,611,6795,7406,7000,14
"1782","G11","Positive_CTL","CARP",92,1840,392,4815,5207,7000,14
"1783","G12","Negative_CTL","CARP",0,0,0,7215,7215,7000,14
"1784","H10","Negative_CTL","CARP",0.17,3.4,1,6926,6927,7000,14
"1785","H11","Negative_CTL","CARP",0,0,0,7289,7289,7000,14
"1786","H12","Negative_CTL","CARP",0,0,0,6557,6557,7000,14
"1811","A04","EB_6/13/22","STHD",0,0,0,5905,5905,4500,14
"1812","A05","EB_6/13/22","STHD",0,0,0,7030,7030,4500,14
"1813","A06","EB_6/13/22","STHD",0,0,0,6492,6492,4500,14
"1814","B04","EB_6/14/22","STHD",0,0,0,6609,6609,4500,14
"1815","B05","EB_6/14/22","STHD",0,0,0,6179,6179,4500,14
"1816","B06","EB_6/14/22","STHD",0,0,0,6496,6496,4500,14
"1817","C04","EB_6/20/22","STHD",0,0,0,5996,5996,4500,14
"1818","C05","EB_6/20/22","STHD",0,0,0,6737,6737,4500,14
"1819","C06","EB_6/20/22","STHD",0,0,0,8077,8077,4500,14
"1820","D04","EB_6/22/22","STHD",0,0,0,7222,7222,4500,14
"1821","D05","EB_6/22/22","STHD",0,0,0,7636,7636,4500,14
"1822","D06","EB_6/22/22","STHD",0,0,0,10503,10503,4500,14
"1823","E04","EB_6/23/22","STHD",0,0,0,8125,8125,4500,14
"1824","E05","EB_6/23/22","STHD",0,0,0,9401,9401,4500,14
"1825","E06","EB_6/23/22","STHD",0,0,0,10801,10801,4500,14
"1826","F04","EB_6/27/22","STHD",0,0,0,7243,7243,4500,14
"1827","F05","EB_6/27/22","STHD",0,0,0,7358,7358,4500,14
"1828","F06","EB_6/27/22","STHD",0,0,0,7456,7456,4500,14
"1829","G04","EB_7/5/22","STHD",0,0,0,6303,6303,4500,14
"1830","G05","EB_7/5/22","STHD",0,0,0,7561,7561,4500,14
"1831","G06","EB_7/5/22","STHD",0,0,0,6827,6827,4500,14
"1832","H04","EB_7/5/22","STHD",0,0,0,5896,5896,4500,14
"1833","H05","EB_7/5/22","STHD",0,0,0,8167,8167,4500,14
"1834","H06","EB_7/5/22","STHD",0,0,0,6446,6446,4500,14
"1835","A07","EB_7/8/22","STHD",0,0,0,3923,3923,4500,14
"1836","A08","EB_7/8/22","STHD",0,0,0,7377,7377,4500,14
"1837","A09","EB_7/8/22","STHD",0,0,0,6510,6510,4500,14
"1838","B07","EB_7/18/22","STHD",0,0,0,5622,5622,4500,14
"1839","B08","EB_7/18/22","STHD",0,0,0,6118,6118,4500,14
"1840","B09","EB_7/18/22","STHD",0,0,0,7461,7461,4500,14
"1877","G10","Positive_CTL","STHD",54,1080,331,7075,7406,4500,14
"1878","G11","Positive_CTL","STHD",34,680,147,5060,5207,4500,14
"1879","G12","Negative_CTL","STHD",0,0,0,7215,7215,4500,14
"1880","H10","Negative_CTL","STHD",0,0,0,6927,6927,4500,14
"1881","H11","Negative_CTL","STHD",0,0,0,7289,7289,4500,14
"1882","H12","Negative_CTL","STHD",0,0,0,6557,6557,4500,14
"1907","A04","EB_6/13/22","CARP",0,0,0,10983,10983,7000,15
"1908","A05","EB_6/13/22","CARP",0,0,0,12153,12153,7000,15
"1909","A06","EB_6/13/22","CARP",0,0,0,11536,11536,7000,15
"1910","B04","EB_6/14/22","CARP",0,0,0,12441,12441,7000,15
"1911","B05","EB_6/14/22","CARP",0,0,0,12114,12114,7000,15
"1912","B06","EB_6/14/22","CARP",0.08,1.6,1,14064,14065,7000,15
"1913","C04","EB_6/20/22","CARP",0,0,0,10406,10406,7000,15
"1914","C05","EB_6/20/22","CARP",0,0,0,10936,10936,7000,15
"1915","C06","EB_6/20/22","CARP",0,0,0,14621,14621,7000,15
