Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A11,Absolute Quantification,ABS,M23_T2_1.2,Ch2Unknown,STHD,Manual,111,ddPCR Supermix for Probes,2220,,,117,105,1182,11949,24,271,1158,11678,0,13131,,,,,,,,0.241,,,0.272,0.21,19.4,,,21.4,17.4,1,1,4500,5856.4,1210.1,1628.4,,,,,114.2,107.7,,,,,,,0.257,0.225,,,20.4,18.4
A12,Absolute Quantification,ABS,M23_T2_1.2,Ch2Unknown,STHD,Manual,107,ddPCR Supermix for Probes,2140,,,113,101,1320,13849,27,329,1293,13520,0,15169,,,,,,,,0.261,,,0.291,0.23,20.7,,,22.6,18.8,1,1,4500,5847,1230.4,1632.1,,,,,110.1,104.2,,,,,,,0.276,0.245,,,21.7,19.7
B10,Absolute Quantification,ABS,M23_T2_0.4,Ch2Unknown,STHD,Manual,48.3,ddPCR Supermix for Probes,966,,,52.5,44.2,511,12183,3,87,508,12096,0,12694,,,,,,,,0.173,,,0.212,0.134,14.8,,,17.6,11.9,1,1,4500,5437.9,1181.9,1353.2,,,,,50.5,46.2,,,,,,,0.193,0.153,,,16.2,13.3
B11,Absolute Quantification,ABS,M23_T2_0.4,Ch2Unknown,STHD,Manual,47.5,ddPCR Supermix for Probes,950,,,51.5,43.6,552,13388,0,78,552,13310,0,13940,,,,,,,,0.139,,,0.172,0.106,12.2,,,14.7,9.6,1,1,4500,5620.8,1213.3,1387.8,,,,,49.6,45.5,,,,,,,0.156,0.122,,,13.5,10.9
B12,Absolute Quantification,ABS,M23_T2_0.4,Ch2Unknown,STHD,Manual,45.5,ddPCR Supermix for Probes,910,,,49.4,41.6,531,13467,2,92,529,13375,0,13998,,,,,,,,0.174,,,0.213,0.136,14.8,,,17.6,12.1,1,1,4500,5462,1191.9,1353.9,,,,,47.5,43.5,,,,,,,0.194,0.155,,,16.3,13.4
C10,Absolute Quantification,ABS,M24_T2_1.2,Ch2Unknown,STHD,Manual,66.6,ddPCR Supermix for Probes,1332,,,71.3,61.9,772,13251,8,132,764,13119,0.0262,14023,,,,,,,,0.177,,,0.209,0.145,15.1,,,17.4,12.8,1,1,4500,5703.8,1126.2,1378.2,,,,,69,64.2,,,,,,,0.193,0.161,,,16.2,13.9
C11,Absolute Quantification,ABS,M24_T2_1.2,Ch2Unknown,STHD,Manual,64.7,ddPCR Supermix for Probes,1294,,,69.2,60.2,793,14026,3,163,790,13863,0,14819,,,,,,,,0.205,,,0.239,0.171,17,,,19.4,14.6,1,1,4500,5914.5,1167.8,1421.8,,,,,67,62.4,,,,,,,0.222,0.187,,,18.2,15.8
C12,Absolute Quantification,ABS,M24_T2_1.2,Ch2Unknown,STHD,Manual,64.5,ddPCR Supermix for Probes,1290,,,68.8,60.1,853,15145,13,170,840,14975,0.255,15998,,,,,,,,0.21,,,0.243,0.176,17.4,,,19.6,15.1,1,1,4500,6024,1190.4,1448.1,,,,,66.7,62.3,,,,,,,0.227,0.193,,,18.5,16.2
D10,Absolute Quantification,ABS,M24_T2_0.4,Ch2Unknown,STHD,Manual,40.2,ddPCR Supermix for Probes,804,,,43.7,36.7,512,14734,3,54,509,14680,0.087,15246,,,,,,,,0.11,,,0.14,0.079,9.9,,,12.3,7.4,1,1,4500,5696.4,1126.3,1279.8,,,,,42,38.4,,,,,,,0.125,0.094,,,11.1,8.6
D11,Absolute Quantification,ABS,M24_T2_0.4,Ch2Unknown,STHD,Manual,38,ddPCR Supermix for Probes,760,,,41.4,34.7,488,14853,2,62,486,14791,0,15341,,,,,,,,0.129,,,0.163,0.095,11.5,,,14.1,8.8,1,1,4500,5963.2,1171.3,1323.7,,,,,39.8,36.3,,,,,,,0.146,0.112,,,12.8,10.1
